Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Buenos Aires,60463200,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 PAULA A. DE SARMIENTO,Estatal,Rural,RUTA 33 KM.63   LA QUERENCIA,8160,291,15-405-3339,26/11/1954,2136,"$  42.720,00","$  46.992,00",10
Buenos Aires,60313600,INSTITUTO ROSARIO DE SANTA FE,Privado,Urbano,AVENIDA JARA 2667,7600,223,472-5037,04/12/1955,4765,"$  95.300,00","$  95.300,00",6
Buenos Aires,60461300,ESCUELA DE EDUCACIÓN PRIMARIA Nº36 PATRICIAS ARGENTINAS,Estatal,Rural,CUARTEL XII S/N  LAS PAJAS,7150,2293,15-46-4641,30/09/1989,3653,"$  73.060,00","$  80.366,00",10
Salta,660044300,JAIME DAVALOS EX N° 805,Estatal,Rural,EL NOGALAR   Ruta Provincial Nº 33,A4415,,,20/04/1958,4678,"$  93.560,00","$  102.916,00",3
Jujuy,380065700,COLEGIO POLIMODAL N 5,Estatal,Rural,AV. 9 DE NOVIEMBRE,Y4632,,,29/12/1964,2143,"$  42.860,00","$  47.146,00",9
Entre Ríos,300086400,ANTARTIDA ARGENTINA 74,Estatal,Rural,PUEBLO CAZES,E3269,3447,496053,16/02/1988,1523,"$  30.460,00","$  33.506,00",5
Neuquén,140072000,ESCUELA PROVINCIAL DE ENSEÑANZA TÉCNICA 20,Estatal,Urbano,LANIN 2036 MILITAR,8300,299,4478052,01/08/1953,4782,"$  95.640,00","$  95.640,00",7
Santa Fe,820275600,ESCUELA ESPECIAL NRO 2030 SURCOS DE ESPERANZA,Estatal,Urbano,MITRE 2518 OESTE,S3080,3496,423335,23/10/1985,4464,"$  89.280,00","$  89.280,00",7
La Pampa,420070202,J.I.N. Nº 23 en Escuela N° 175,Estatal,Rural,Gabino Ezeiza s/n   SUM Municipalidad,L8214,2954,452642,13/10/1980,1685,"$  33.700,00","$  37.070,00",5
Mendoza,500097000,ROSA ISABEL TREBES DE TORRES,Estatal,Urbano,SAN MARTIN S/N,M5565,261,5592608,18/05/1977,3274,"$  65.480,00","$  65.480,00",3
Buenos Aires,60129200,ESCUELA ESPECIAL Nº501 MINISTRO OSVALDO ZARINI,Estatal,Urbano,AZCUENAGA ESQ. BELGRANO 581,1814,2226,43-2633,29/12/1985,3763,"$  75.260,00","$  75.260,00",7
Tucumán,900220400,JARDIN MATERNO INFANTIL OKI DOKI,Privado,Urbano,PASO DE LOS ANDES 658,,0,4234585,27/09/1966,3892,"$  77.840,00","$  77.840,00",3
Corrientes,180016300,ESCUELA PRIMARIA Nº 175,Estatal,Rural,RUTA Nº 9   PJE.ALBARDON NORTE - 2DA.SECCION,W3403,0,0,01/11/1951,4860,"$  97.200,00","$  106.920,00",9
Santiago del Estero,860094000,JARDIN MUNICIPAL Nº22 VIRGEN DEL CARMEN,Estatal,Urbano,AV. ROCA Y TOMAS GUIDO  SARGENTO CABRAL,G4200,,,14/07/1971,2927,"$  58.540,00","$  58.540,00",10
San Juan,700072200,ESCUELA TÉCNICA DE CAPACITACIÓN LABORAL ROBERTO J. PAYRO,Estatal,Urbano,ALMA FUERTE S/N  SALVADOR MARÍA DEL CARRIL,J5423,264,4307667,24/12/1986,3178,"$  63.560,00","$  63.560,00",5
La Pampa,420020000,Instituto Catriló Dr. Ernesto López,Privado,Urbano,Roque Saenz Peña  357,L6330,2954,491124,18/08/1987,3331,"$  66.620,00","$  66.620,00",9
Tucumán,900177400,ESC. TECNICA JUAN XXIII,Estatal,Urbano,CHILE 2151 JUAN XXIII,T4000,381,4333455,04/01/1994,3557,"$  71.140,00","$  71.140,00",6
Santa Fe,140072000,COLEGIO SUPERIOR NRO 47 FLORENTINO AMEGHINO,Estatal,Urbano,BOULEVARD CENTENARIO 1075,S2500,3471,422131,24/09/1966,4447,"$  88.940,00","$  88.940,00",8
Tucumán,900177657,C.E.F.P. N° 2-52,Estatal,Urbano,CAMINO VECINAL S/N   LOS ARROYO,T4158,3865,15674450,23/09/1983,2770,"$  55.400,00","$  55.400,00",3
Santiago del Estero,860066600,CENTRO DE EDUCACION BASICA DEL ADULTO Nº041,Estatal,Rural,NECOCHEA  CENTRO,G4300,,,13/10/1994,1837,"$  36.740,00","$  40.414,00",5
Misiones,540012500,ESC. Nº 468: JUANA MANSO,Estatal,Urbano,PARAGUAY 1680  A 100m de la terminal de omnibus. Entre Cuyo y Kennedy. Paralela a Talcahuano,N3380,3751,422012,09/05/1965,1677,"$  33.540,00","$  33.540,00",3
Misiones,540183713,U.G.L. Nº 03 (Ext. Esc. Nº 724),Estatal,Urbano,CERCA DEL Aº PEPIRÍ MINÍ A 4KM R.14,3352,3751,15600540,14/02/1958,2628,"$  52.560,00","$  52.560,00",7
Misiones,540110100,INST. PRIV. MARIANO,Privado,Urbano,Avda. Sarmiento  714 Centro Sarmiento y José Ingenieros,N3360,3755,401789,01/11/1988,2229,"$  44.580,00","$  44.580,00",5
Santiago del Estero,860003300,COLEGIO SECUNDARIO JOSE DE SAN MARTIN,Estatal,Urbano,LAVALLE Y LAS VIRGENES   COLONIA DORA,G4332,,,19/05/1960,4666,"$  93.320,00","$  93.320,00",3
Buenos Aires,60046200,ESCUELA ELMINA PAZ DE GALLO,Privado,Urbano,AVENIDA ROSALES E/ COLIQUEO Y CATRIEL 2312,1706,11,4659-1369,09/05/1992,4039,"$  80.780,00","$  80.780,00",6
La Rioja,460014900,ESC.N°067 DOMINGA ESTHER FUNES,Estatal,Rural,RUTA PCIAL.N°11,F5361,,,19/04/1986,4000,"$  80.000,00","$  88.000,00",10
Tucumán,900179500,INST. SANTA CATALINA DE SIENA,Privado,Urbano,Jujuy 1717 VILLA ALEM,T4000,,4291838,25/08/1967,2015,"$  40.300,00","$  40.300,00",3
La Pampa,140072000,Instituto Superior de Estudios Psicopedagógicos y Sociales - Sede General Pico,Privado,Urbano,Calle 24 454 Centro Colegio Secundario Zampieri y Quaglini,L6360,2302,15300946,18/11/1994,3184,"$  63.680,00","$  63.680,00",8
Santa Fe,820321201,NUCLEO I - JARDIN DE INFANTES NRO 195 ANA MARIA SANCHEZ DE MAIDANA,Estatal,Urbano,ANGELA PERALTA PINO 515 SUR,S3060,3491,473881,05/05/1952,2268,"$  45.360,00","$  45.360,00",3
Santiago del Estero,860129600,ESCUELA ESPECIAL N° 240 DR.RAMON CARRILLO,Estatal,Urbano,Uruguay  110 America del Sur,G4200,385,4949229,01/10/1980,1837,"$  36.740,00","$  36.740,00",10
La Rioja,460031400,ESC.N°188,Estatal,Rural,NICOLASA PERAFAN S/N° LA PUNTILLA,F5367,,,06/08/1951,3165,"$  63.300,00","$  69.630,00",7
San Juan,700063700,C.E.N.S. HÉROES DE MALVINAS,Estatal,Urbano,BELGRANO 418,J5435,,,29/09/1977,4461,"$  89.220,00","$  89.220,00",5
Mendoza,500194800,ESCUELA Nº 3-483 (C.E.N.S.),Estatal,Urbano,COVIMET IV ALBERTI S/N,M5525,,4910991,30/01/1994,2755,"$  55.100,00","$  55.100,00",3
Misiones,540135200,ESC. Nº 867: IRYAPU (INT. BILINGÜE),Estatal,Rural,COMUNIDAD ABORIGEN IRYAPU,N3370,3757,15522619,02/02/1971,2936,"$  58.720,00","$  64.592,00",10
Salta,660017000,ESCUELA Nª 4276 Escribano Hector Juan Saa EX N° 434,Estatal,Rural,PARAJE PACARA,A4560,,,03/01/1975,2835,"$  56.700,00","$  62.370,00",9
Santiago del Estero,860208500,JARDIN MUNICIPAL N°2 MUNDO FELIZ,Estatal,Urbano,Marcos Victorio S/N  Ricardo Rojas Entre calles astiglione y Fco. de Aguirre,4338,385,4921505,11/10/1955,4557,"$  91.140,00","$  91.140,00",5
Buenos Aires,60401700,JARDÍN DE INFANTES Nº905,Estatal,Urbano,LOS SAUCES Y SANTA ANA - BO. CARUMBE S/N  BARRIO CARUMBE,1667,2322,62-3426,08/03/1967,2589,"$  51.780,00","$  51.780,00",7
Santa Fe,820276200,JARDIN DE INFANTES NRO 102 ALFREDO WILLINER,Estatal,Urbano,LUIS PASTEUR 461 ILOLAY,S2300,3492,431630,18/05/1981,3324,"$  66.480,00","$  66.480,00",8
Buenos Aires,60008500,INSTITUTO SAN JOSE,Privado,Urbano,AV. PTE. JUAN D. PERON 734,1663,11,4451-7937,20/01/1964,2404,"$  48.080,00","$  48.080,00",10
Río Negro,620015900,ESCUELA PRIMARIA NRO. 12 DOLORES OCHOA,Estatal,Urbano,SARMIENTO 682  EEBA 4,R8334,298,4480339,06/11/1972,2711,"$  54.220,00","$  54.220,00",5
Entre Ríos,300037200,ISLAS MALVINAS 105,Estatal,Urbano,ROCAMORA 515,E2820,3446,425775,06/05/1978,3467,"$  69.340,00","$  69.340,00",4
Formosa,340079400,EPEP Nº476,Estatal,Rural,LAS CAÑITAS,P3636,,,16/01/1950,4845,"$  96.900,00","$  106.590,00",3
La Rioja,460064300,CENTRO DE CAPACITACION LABORAL N°28,Estatal,Urbano,S/N°  VENECIA,F5300,,,05/04/1957,4528,"$  90.560,00","$  90.560,00",5
Chaco,220033700,E.E.P. Nº 584-JUAN HORTENCIO QUIJANO,Estatal,Rural,Villa Quijano,H3514,466142,3644,01/12/1973,4693,"$  93.860,00","$  103.246,00",10
Chubut,260008500,PETRÓLEO ARGENTINO,Estatal,Urbano,San José de Jachel 950 Pueyrredón,U9000,297,4483324,15/03/1973,1791,"$  35.820,00","$  35.820,00",8
Misiones,540184700,U.G.L. Nº 13: Puerto Rico,Estatal,Rural,Av. San Martin y Andresito   Av. San Martin y Andresito - Edif. Terraza - Local Nº 5,N3334,3743,15667896/517563,03/02/1966,4255,"$  85.100,00","$  93.610,00",5
Corrientes,180074800,ESCUELA Nº 21 FRANCISCO MARIA MORELLO,Estatal,Rural,CAMINO VECINAL   1RA SECCION - LOMAS SUR,W3432,3777,416538,03/07/1959,3895,"$  77.900,00","$  85.690,00",3
Córdoba,140068800,INST. SUP. BERNARDO A. HOUSSAY,Estatal,Urbano,RUTA NACIONAL Nº 9 Y AVDA. LAS COLONIAS  CENTRO MARCOS JUAREZ,X2580,3472,455644,11/10/1952,4810,"$  96.200,00","$  96.200,00",3
Chubut,260008100,DONALD BORSELLA,Estatal,Urbano,Lewis Jones 412 Alberdi,U9100,280,4427559,18/03/1990,4487,"$  89.740,00","$  89.740,00",9
Misiones,540005501,Aula Sat. Nº 01: ESC. ADULTOS Nº 27,Estatal,Urbano,25 DE mayo,3338,3755,15653957,15/03/1991,3421,"$  68.420,00","$  68.420,00",9
Tucumán,900184800,COL. JOSE ENGLING,Privado,Urbano,BALCARCE 315 NORTE,T4000,,0381-4305227,02/02/1973,3680,"$  73.600,00","$  73.600,00",4
Misiones,540157000,ESC. ESPECIAL Nº 49 (Ex Aula Sat. Esc. Especial Nº 01),Estatal,Urbano,A 200 M AVDA. LAS AMERICAS Bº 90 V. S/N BARRIO 90 VIVIENDAS A 200 M. AVDA. LAS AMERICAS Bº 90 VIVIENDAS (ESC. 828),N3304,376,154391399,26/12/1960,2596,"$  51.920,00","$  51.920,00",5
Santiago del Estero,860184400,COLEGIO SECUNDARIO 7 DE NOVIEMBRE,Estatal,Urbano,SECTOR C COLONIA EL SIMBOLAR  SECTOR C COLONIA EL SIMBOLAR,G4354,385,4911363,27/07/1974,2839,"$  56.780,00","$  56.780,00",10
Salta,660019200,ESCUELA Nª 4611 EX N° 855,Estatal,Rural,PARAJE CHAÑARES ALTOS   RIVADAVIA BANDA NORTE -VIA TARTAGAL- ESTAFETA DE S.V.ESTE,A4561,387,154570821,10/02/1986,1514,"$  30.280,00","$  33.308,00",6
Mendoza,500094800,EUGENIO PETRI,Estatal,Rural,LAVALLE S/N,M5570,263,4421372,02/05/1994,1876,"$  37.520,00","$  41.272,00",9
Entre Ríos,300010000,PRIV. SAN MIGUEL 95,Privado,Urbano,MORENO 686,E3150,3435,421290,30/10/1974,4114,"$  82.280,00","$  82.280,00",3
Entre Ríos,300020500,ESCUELA SECUNDARIA 8 HECTOR DE ELIA,Estatal,Rural,AVDA. ROCA S/N  COLONIA ELIA,E3261,3442,493074,01/06/1980,4713,"$  94.260,00","$  103.686,00",8
Ciudad de Buenos Aires,20035300,EI Nº 02 DE 14 (HOSP. TORNU),Estatal,Urbano,COMBATIENTES DE MALVINAS 3002 PARQUE CHAS,C1427,11,4521-9789,07/03/1980,4493,"$  89.860,00","$  89.860,00",5
Misiones,540087700,ESC. Nº 544: MANUEL ALVEZ,Estatal,Rural,PARAJE MARTIN GÜEMES-LOTE 25 -SEC.P   PARAJE MARTIN GÜEMES- LOTE 25 - SECCION P,N3361,3755,422946,03/05/1968,2095,"$  41.900,00","$  46.090,00",5
Río Negro,620047705,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO. 6,Estatal,Urbano,O'HIGGINS Y RECONQUISTA  ZATTI,R8500,2920,424677,04/04/1991,3234,"$  64.680,00","$  64.680,00",3
Misiones,540018700,ESC. Nº 60: MARIANO R.PEREZ,Estatal,Rural,Colonia Alemana. Lote Nº90   Colonia Alemana,N3311,3754,527589,03/04/1960,4693,"$  93.860,00","$  103.246,00",6
Corrientes,180091000,ESCUELA PRIMARIA COMUN Nº 30 OLEGARIO GAMARRA ARBO,Estatal,Rural,5TA. SECCION - PJE. LOMA ALTA,W3423,379,154405083,16/10/1951,2460,"$  49.200,00","$  54.120,00",10
Santa Fe,820190404,C.E.P.A. NRO 161,Estatal,Urbano,AVELLANEDA 206  ESCUELA PRIMARIA NRO 913,S2154,341,4713966,12/02/1992,4802,"$  96.040,00","$  96.040,00",7
Buenos Aires,60353600,ESCUELA DE EDUCACIÓN PRIMARIA Nº20 ARMADA ARGENTINA,Estatal,Rural,PARAJE LA FLORENTINA S/N  LA FLORENTINA,7414,2284,15-45-4294,07/05/1974,2390,"$  47.800,00","$  52.580,00",8
Buenos Aires,60565200,JARDÍN DE INFANTES JUAN BAUTISTA ALBERDI,Privado,Urbano,AV. SANTA ROSA 863,1712,11,4624-1167,30/09/1954,3804,"$  76.080,00","$  76.080,00",9
Chubut,260020500,FRANCA AUSTRAL,Estatal,Urbano,Luis María Campos  299 viviendas,U9120,280,4451864,01/01/1983,3769,"$  75.380,00","$  75.380,00",9
Santiago del Estero,860214700,AGRUPAMIENTO Nº 86024 CON SEDE ESC Nº 170,Estatal,Rural,EL QUEMADO,G4197,,,28/05/1964,1829,"$  36.580,00","$  40.238,00",4
Catamarca,100007300,ESCUELA PROVINCIAL DE MINERIA  DR.BERNARDO HOUSSAY,Estatal,Urbano,ACOSTA VILLAFAÑEZ 1416 CENTRO,K4700,,,03/07/1992,3434,"$  68.680,00","$  68.680,00",3
Formosa,340069505,NEP Y FP Nº24 - EPEP Nº176,Estatal,Rural,EPEP Nº176,P3610,3718,422860,20/08/1956,3154,"$  63.080,00","$  69.388,00",3
San Luis,740009300,ESC. N° 7 CONSTANCIO CARLOS VIGIL,Estatal,Urbano,CARPINTERIA 90 JARDIN SAN LUIS,D5700,266,4430233,15/08/1992,2468,"$  49.360,00","$  49.360,00",3
Formosa,340002500,EJI N° 12 NIDITO DE AMOR,Estatal,Urbano,RUTA PROVINCIAL Nº 2  CENTRO,P3611,,,12/03/1985,1867,"$  37.340,00","$  37.340,00",7
Entre Ríos,300100300,PRIV. SAN BENITO ABAD 158,Privado,Urbano,RAMIREZ 534,E3107,,4973426,26/11/1954,4676,"$  93.520,00","$  93.520,00",5
Santa Cruz,780019300,ESCUELA PRIMARIA PROVINCIAL Nº 56 KREWEN KAU,Estatal,Urbano,VENEZUELA 1230 CENTENARIO,Z9050,297,4870239,24/06/1984,3950,"$  79.000,00","$  79.000,00",6
Neuquén,580112400,ESCUELA PRIMARIA 358,Estatal,Urbano,GUILLEN NICOLAS  BARRIOS UNIDOS,8309,299,4870733,03/09/1966,4556,"$  91.120,00","$  91.120,00",4
Buenos Aires,60287400,ESCUELA DE EDUCACIÓN PRIMARIA Nº123 ESTADOS UNIDOS DEL BRASIL,Estatal,Urbano,RUTA 2 - KM 43.800 S/N  EL PELIGRO,1894,221,49-2350,18/08/1972,2051,"$  41.020,00","$  41.020,00",6
Buenos Aires,60484100,ESCUELA ESPECIAL Nº505 HIPOLITO BOUCHARD,Estatal,Urbano,Berutti 457,8000,291,452-1129,30/07/1984,3577,"$  71.540,00","$  71.540,00",6
Santiago del Estero,860033000,ESCUELA Nº212 INFANTIL FALUCHO,Estatal,Rural,Camino Vecinal,G3740,,,10/08/1960,2670,"$  53.400,00","$  58.740,00",6
Tucumán,900178400,INST. KINDER/COL. DEL SOL,Privado,Urbano,ESTEBAN ECHEVERRIA 256,T4000,381,4352206,10/01/1979,4266,"$  85.320,00","$  85.320,00",9
Buenos Aires,60016401,CENTRO DE ADULTOS Nº704/02,Estatal,Urbano,EVARISTO CARRIEGO 453,2800,,,27/09/1989,2360,"$  47.200,00","$  47.200,00",8
Tucumán,900063800,ESC. N° 173 - CAMINO DE LAS CARRETAS,Estatal,Rural,RUTA 304 KM. 65,T4119,0,0,20/07/1958,2232,"$  44.640,00","$  49.104,00",7
Ciudad de Buenos Aires,20094700,PROF. LUZ VIEIRA MENDEZ,Estatal,Urbano,BRAGADO 5350 MATADEROS,C1440,11,4682-0185,29/04/1970,1778,"$  35.560,00","$  35.560,00",8
Santa Fe,820261200,ESCUELA NRO 1036 ARTURO CAPDEVILA,Estatal,Rural,RUTA NRO 95   EMPALME RUTA 30 -CAMINO VECINAL,S3541,3491,499995,24/02/1976,1588,"$  31.760,00","$  34.936,00",5
Entre Ríos,300072000,JOSE RUPERTO PEREZ 52,Estatal,Rural,PARAJE EL CERRO,E3153,,,02/05/1978,2477,"$  49.540,00","$  54.494,00",5
Chubut,260081900,ESCUELA DE NIVEL INICIAL,Estatal,Urbano,25 de Mayo y Alsina,9200,2945,453433,11/09/1993,2557,"$  51.140,00","$  51.140,00",9
San Juan,700018600,DOCTOR SATURNINO SALAS,Estatal,Rural,BUENOS AIRES S/N  9 DE JULIO,J5442,264,4307895,04/01/1969,4541,"$  90.820,00","$  99.902,00",9
Buenos Aires,60113900,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 JOSÉ HERNANDEZ,Estatal,Rural,ZONA RURAL S/N  LA CENTRAL,6725,2273,40-9656,03/09/1953,4103,"$  82.060,00","$  90.266,00",9
Misiones,540140800,C.E.P. Nº 27,Estatal,Urbano,HORACIO QUIROGA 933  HORACIO QUIROGA 933 Y R. PROV.Nº220,N3364,3755,649115/500680/470131,01/01/1963,3681,"$  73.620,00","$  73.620,00",8
Misiones,540120201,Aula Taller Móvil Nº 01 Producción Agropecuaria,Estatal,Urbano,Av. Lavalle  1947  AV. ULISES TORRES CENTRO DEL CONOCIMIENTO,3300,376,154505450,19/03/1960,4576,"$  91.520,00","$  91.520,00",10
Jujuy,380008500,ESCUELA N 418 EVA PERON,Estatal,Urbano,COCHABAMBA 1362 SAN PEDRITO,Y4600,388,4254470,02/01/1992,4378,"$  87.560,00","$  87.560,00",3
Santiago del Estero,860142503,JARDIN MUNICIPAL N° 3 BELEN,Estatal,Urbano,Victoria Ocampo  VILLA BALNEARIA,G4220,,,24/02/1970,3605,"$  72.100,00","$  72.100,00",3
Salta,660075900,VIRGEN DE LA CANDELARIA EX N°327,Estatal,Rural,PARAJE KELLOTICAR,A4651,,,27/02/1951,3926,"$  78.520,00","$  86.372,00",5
Chaco,220003300,JARDIN DE INFANTES Nº  113,Estatal,Urbano,ARSEMIO TASCON  CENTENARIO MZ.2-PC.6-4-2-Bº CENTENARIO,H3522,0,0,10/10/1990,2116,"$  42.320,00","$  42.320,00",3
